Wall time,Step,Value
1663621554.684013,75,122.25
1663622075.246673,150,126.625
1663622810.447319,225,137.0
1663623350.672243,300,143.0
1663624085.676327,375,148.8000030517578
1663624627.950281,450,150.1999969482422
1663625358.447288,525,155.89999389648438
1663625944.96031,600,145.89999389648438
1663626726.779724,675,152.10000610351562
1663627286.925489,750,152.10000610351562
1663628006.532105,825,156.1999969482422
1663628523.114011,900,166.6999969482422
1663629264.743217,975,176.89999389648438
1663629834.667686,1050,200.8000030517578
